nft_name,total_supply,total_volume,owners,contract_address
Bored Ape Yacht Club,10000,663979.433514848,6451,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d
Mutant Ape Yacht Club,19425,450605.24834956,12973,0x60e4d786628fea6478f785a6d7e704777c86a7c6
Otherdeed for Otherside,100000,344626.975866307,34138,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258
Azuki,10000,261221.657618932,5047,0xed5af388653567af2f388e6224dc7c4b3241c544
CLONE X - X TAKASHI MURAKAMI,19382,230179.895730427,9536,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b
Moonbirds,10000,170707.948179551,6574,0x23581767a106ae21c074b2276d25e5c3e136a68b
Meebits,20000,128025.959693865,6580,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7
Cool Cats NFT,9955,112211.35946582,5649,0x1a92f7381b9f03921564a437210bb9396471050c
Bored Ape Kennel Club,9602,108966.588517371,5537,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623
Loot (for Adventurers),7779,74923.2441585845,2561,0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7
World of Women,10000,72476.3134708485,5536,0xe785e82358879f061bc3dcac6f0444462d4b5330
Parallel Alpha,819,71697.2474276312,51081,0x76be3b62873462d2142405439777e971754e8e77
CrypToadz by GREMPLIN,7025,71380.8182525926,4131,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6
BEANZ Official,19950,67345.3926589141,7204,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949
Pudgy Penguins,8888,62404.5178039214,4486,0xbd3531da5cf5857e7cfaa92426877b022e612cf8
VeeFriends,10255,57125.4506481943,5214,0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb
HAPE PRIME,8192,55852.0760526309,4414,0x4db1f25d3d98600140dfc18deb7515be5bd293af
NFT Worlds,10000,52132.7618854426,1036,0xbd4455da5929d5639ee098abfaa3241e9ae111af
0N1 Force,7777,49112.325369198,4368,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d
MekaVerse,8888,48716.4195262408,4676,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f
goblintown.wtf,9999,48706.6391146289,4538,0xbce3781ae7ca1a5e050bd9c4c77369867ebc307e
adidas Originals Into the Metaverse,2,46658.9622217511,20342,0x28472a58a490c5e09a238847f66a68a47cc76f0f
PXN: Ghost Division,10000,45393.1604307619,5790,0x160c404b2b49cbc3240055ceaee026df1e8497a0
Karafuru,5555,44483.425312237,3701,0xd2f668a8461d6761115daf8aeb3cdf5f40c532c6
Invisible Friends,5000,44312.3723977687,3963,0x59468516a8259058bad1ca5f8f4bff190d30e066
Hashmasks,16386,42602.3742306415,5169,0xc2c747e0f7004f9e8817db2ca4997657a7746928
mfers,10021,41960.7771116971,5663,0x79fcdef22feed20eddacbb2587640e45491b757f
FLUF World,10000,37812.906965525,3565,0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d
RTFKT - CloneX Mintvial,7558,37157.6298879802,339,0x348fc118bcc65a92dc033a951af153d14d945312
Creature World,10000,35718.4546820642,6163,0xc92ceddfb8dd984a89fb494c376f9a48b999aafc
PhantaBear,10000,35165.3944194662,5099,0x67d9417c9c3c250f61a83c7e8658dac487b56b09
3Landers,10000,35064.5230545462,5967,0xb4d06d46a8285f4ec79fd294f78a881799d8ced9
CyberBrokers,10001,34944.8820852239,3278,0x892848074ddea461a15f337250da3ce55580ca85
CyberKongz VX,14834,33480.7967673708,2681,0x7ea3cca10668b8346aec0bf1844a49e995527c8b
Lazy Lions,10080,30449.7964951001,5108,0x8943c7bac1914c9a7aba750bf2b6b09fd21037e0
Kaiju Kingz,7705,30383.1896730673,2799,0x0c2e57efddba8c768147d1fdf9176a0a6ebd5d83
Cool Pets NFT,19245,30181.7126988674,9202,0x86c10d10eca1fca9daf87a279abccabe0063f247
Deadfellaz,10000,30126.6927580825,6396,0x2acab3dea77832c09420663b0e1cb386031ba17b
Creepz Genesis,11111,30096.4131923778,576,0xfe8c6d19365453d26af321d0e8c910428c23873f
Prime Ape Planet PAP,7979,29955.8715334254,3404,0x6632a9d63e142f17a668064d41a21193b49b41a0
World of Women Galaxy,21397,29733.4633086393,11721,0xf61f24c2d93bf2de187546b14425bf631f28d6dc
The Doge Pound,10000,29656.9292920925,5486,0xf4ee95274741437636e748ddac70818b4ed7d043
VeeFriends Series 2,54304,29101.9110769948,22175,0x9378368ba6b85c1fba5b131b530f5f5bedf21a18
alien frens,10000,28587.6586154147,6606,0x123b30e25973fecd8354dd5f41cc45a3065ef88c
CyberKongz,5000,27023.537238173467,440,0x57a204aa1042f6e66dd7730813f4024114d74f37
SuperNormal,8888,26868.586315639,3858,0xd532b88607b1877fe20c181cba2550e3bbd6b31c
Psychedelics Anonymous Genesis,9595,26085.3300980965,2031,0x75e95ba5997eb235f40ecf8347cdb11f18ff640b
Coolman's Universe,10000,25713.5683716696,5300,0xa5c0bd78d1667c13bfb403e2a3336871396713c5
Worldwide Webb Land,9069,25468.1486106054,4455,0xa1d4657e0e6507d5a94d06da93e94dc7c8c44b51
VOX Collectibles: Town Star,8888,25403.5751946734,3241,0xad9fd7cb4fc7a0fbce08d64068f60cbde22ed34c
Voxels (formerly Cryptovoxels),7863,25390.1537899649,2422,0x79986af15539de2db9a5086382daeda917a9cf0c
Metroverse Genesis,10000,25273.770967809465,2422,0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f
Capsule House,10000,24867.8244382103,3840,0xfcb1315c4273954f74cb16d5b663dbf479eec62e
Town Star,1357,24677.7431317327,38057,0xc36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c
Gutter Cat Gang,3000,24345.9718820632,1792,0xedb61f74b0d09b2558f1eeb79b247c1f363ae452
SupDucks,10001,23965.0713075422,3703,0x3fe1a4c1481c8351e91b64d5c398b159de07cbc5
Lives of Asuna,10000,22854.9913357782,4877,0xaf615b61448691fc3e4c61ae4f015d6e77b6cca8
Wolf Game,13733,22683.5196704536,644,0x7f36182dee28c45de6072a34d29855bae76dbe2f
Sneaky Vampire Syndicate,8888,22623.5301359559,2705,0x219b8ab790decc32444a6600971c7c3718252539
Damien Hirst - The Currency,1763,22333.1111541979,1466,0xaadc2d4261199ce24a4b0a57370c4fcf43bb60aa
Adam Bomb Squad,25000,21796.5522326213,8495,0x7ab2352b1d2e185560494d5e577f9d3c238b78c5
CryptoSkulls,10000,21566.9874822282,4002,0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9
Killer GF,7762,21310.8729639946,3905,0x6be69b2a9b153737887cfcdca7781ed1511c7e36
Impostors Genesis Aliens,10420,20987.6140745212,4798,0x3110ef5f612208724ca51f5761a69081809f03b7
MURI by Haus,10000,20829.9262656219,5648,0x4b61413d4392c806e6d0ff5ee91e6073c21d6430
CryptoPunks V1 (wrapped),2609,20395.305153321,768,0x282bdd42f4eb70e7a9d9f40c8fea0825b7f68c5d
PROOF Collective,1000,20142.21891788483,938,0x08d7c0242953446436f34b4c78fe9da38c73668d
oncyber labs,5,19078.9193471507,9107,0x226bf5293692610692e2c996c9875c914d2a7f73
Murakami.Flowers Official,9652,18975.3901188176,5834,0x7d8820fa92eb1584636f4f5b8515b5476b75171a
MoonCats,19265,18834.3767646118,5858,0xc3f733ca98e0dad0386979eb96fb1722a1a05e69
Arcade Land,10000,18545.973084087,5151,0x4a8c9d751eeabc5521a68fb080dd7e72e46462af
Bears Deluxe,6382,18415.8962768191,2560,0x4bb33f6e69fd62cf3abbcc6f1f43b94a5d572c2b
Rumble Kong League,10000,18317.8205759631,3081,0xef0182dc0574cd5874494a120750fd222fdb909a
Lil' Heroes by Edgar Plans,7777,18266.3598642435,3817,0xd78b76fcc33cd416da9d3d42f72649a23d7ac647
Moonbirds Oddities,10000,17463.0561662548,6121,0x1792a96e5668ad7c167ab804a100ce42395ce54d
Project NANOPASS,5555,17435.2584046912,3790,0xf54cc94f1f2f5de012b6aa51f1e7ebdc43ef5afc
tubby cats,20000,17422.9034109292,8562,0xca7ca7bcc765f77339be2d648ba53ce9c8a262bd
CryptoBatz by Ozzy Osbourne,9666,17259.2550746022,6272,0xc8adfb4d437357d0a656d4e62fd9a6d22e401aa0
DEGEN TOONZ COLLECTION,8888,17224.6596693439,3863,0x19b86299c21505cdf59ce63740b240a9c822b5e4
MetaHero Universe: Generative Identities,6849,17019.2637956515,2627,0x6dc6001535e15b9def7b0f6a20a2111dfa9454e2
MutantCats,9999,16625.798831838,1801,0xaadba140ae5e4c8a9ef0cc86ea3124b446e3e46a
My Pet Hooligan,8888,16092.2040391833,4414,0x09233d553058c2f42ba751c87816a8e9fae7ef10
JRNY Club,10000,15926.1752127024,5779,0x0b4b2ba334f476c8f41bfe52a428d6891755554d
FULL SEND METACARD NFT,10000,15796.8294467597,7022,0x7ecb204fed7e386386cab46a1fcb823ec5067ad5
Boss Beauties,9999,15736.6060751654,5555,0xb5c747561a185a146f83cfff25bdfd2455b31ff4
Robotos,9999,15611.5525972867,5629,0x099689220846644f87d1137665cded7bf3422747
Treeverse Plots,10420,15490.6642555475,3489,0x1b829b926a14634d36625e60165c0770c09d02b2
KIWAMI Genesis,10000,15472.4159758622,3670,0x701a038af4bd0fc9b69a829ddcb2f61185a49568
Pixelmon - Generation 1,10005,15461.814554465,4130,0x32973908faee0bf825a343000fe412ebe56f802a
Anonymice,10000,15386.8814520285,1089,0xbad6186e92002e312078b5a1dafd5ddf63d3f731
Quirkies Originals,5000,15040.0715016489,2174,0x3903d4ffaaa700b62578a66e7a67ba4cb67787f9
Galaxy-Eggs,9999,14875.304116796451,4537,0xa08126f5e1ed91a635987071e6ff5eb2aeb67c48
Forgotten Runes Wizards Cult,9328,14837.0589591196,2986,0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42
CryptoMories,10121,14345.5376135448,5162,0x1a2f71468f656e97c2f86541e57189f59951efe7
PREMINT Collector Pass - OFFICIAL,10000,13957.6430597328,8432,0xe0176ba60efddb29cac5b15338c9962daee9de0c
hausphases by Haus,7777,13922.5920576363,4692,0x5be99338289909d6dbbc57bb791140ef85ccbcab
Wolf Game,13809,13636.272562516768,13,0xeb834ae72b30866af20a6ce5440fa598bfad3a42
Akutars,15000,13417.0431655486,5246,0xaad35c2dadbe77f97301617d82e661776c891fa9
THE SHIBOSHIS,10000,13377.2696148718,3467,0x11450058d796b02eb53e65374be59cff65d3fe7f
Crypto Bull Society,7777,13277.2190370485,3916,0x469823c7b84264d1bafbcd6010e9cdf1cac305a3
Frontier Game,57,13221.5123825308,6445,0x236672ed575e1e479b8e101aeeb920f32361f6f9
The Potatoz,9999,13198.5589796244,5046,0x39ee2c7b3cb80254225884ca001f57118c8f21b6
ZombieClub Token,6666,13139.6233956049,3246,0x9c80777cae192e5031c38a0d951c55730ecc3f5e
Crypto.Chicks,10000,12917.2436096314,4426,0x1981cc36b59cffdd24b01cc5d698daa75e367e04
"""MOAR"" by Joan Cornella",5555,12710.1078861322,2916,0xeb3a9a839dfeeaf71db1b4ed6a8ae0ccb171b227
IO: Imaginary Ones,8888,12583.2367531906,2324,0x716f29b8972d551294d9e02b3eb0fc1107fbf4aa
The Humanoids,10002,12559.5351979945,3852,0x3a5051566b2241285be871f650c445a88a970edd
The Sevens - Genesis,7000,12468.3107413386,2953,0xf497253c2bb7644ebb99e4d9ecc104ae7a79187a
OnChainMonkey,9500,12408.8461864808,2999,0x960b7a6bcd451c9968473f7bbfd9be826efd549a
inBetweeners by GianPiero,10777,12193.6394508899,5506,0x94638cbf3c54c1f956a5f05cbc0f9afb6822020d
Chimpers,5555,11965.1058914363,879,0x80336ad7a747236ef41f47ed2c7641828a480baa
10KTF,23488,11782.3918293891,5716,0x0cfb5d82be2b949e8fa73a656df91821e2ad99fd
Desperate ApeWives,10017,11694.1124295924,4226,0xf1268733c6fb05ef6be9cf23d24436dcd6e0b35e
FVCK_CRYSTAL//,4169,11662.162682969854,2247,0x7afeda4c714e1c0a2a1248332c100924506ac8e6
We Are All Going to Die,6666,11604.1613496516,2253,0x659a4bdaaacc62d2bd9cb18225d9c89b5b697a5a
RTFKT X NIKE MONOLITH,1,11524.5821167698,6506,0x6d4bbc0387dd4759eee30f6a482ac6dc2df3facf
Rug Radio - Genesis NFT,20200,11273.728085894,9149,0x8ff1523091c9517bc328223d50b52ef450200339
Boki,7777,11167.6327928952,3497,0x248139afb8d3a2e16154fbe4fb528a3a214fd8e7
DourDarcels,10000,11115.2786267083,4600,0x8d609bd201beaea7dccbfbd9c22851e23da68691
the littles NFT,10000,11090.7664251516,5171,0xc6ec80029cd2aa4b0021ceb11248c07b25d2de34
The Art of Seasons,7237,10999.0723383929,3297,0x5bd815fd6c096bab38b4c6553cfce3585194dff9
Sappy Seals,10000,10996.507275314,1610,0x364c828ee171616a39897688a831c2499ad972ec
CryptoDickbutts,5200,10982.6239672444,1700,0x42069abfe407c60cf4ae4112bedead391dba1cdb
Tom Sachs: Rocket Factory - Components,282,10818.538976873826,117,0x11595ffb2d3612d810612e34bc1c2e6d6de55d26
Smilesss,8807,10810.069372139,4402,0x177ef8787ceb5d4596b6f011df08c86eb84380dc
WonderPals,10000,10646.0489661094,6412,0x3acce66cd37518a6d77d9ea3039e00b3a2955460
Dooplicator,9375,10635.9947635427,5450,0x466cfcd0525189b573e794f554b8a751279213ac
Creepz Reptile Armoury,20010,10294.934854061205,458,0x5f4a54e29ccb8a02cdf7d7bfa8a0999a8330cced
10KTF Stockroom,23,10144.1454350078,4467,0x7daec605e9e2a1717326eedfd660601e2753a057
ALPACADABRAZ,9669,10042.9583724476,4421,0x3db5463a9e2d04334192c6f2dd4b72def4751a61
Milady Maker,10000,9887.39522751411,2989,0x5af0d9827e0c53e4799bb226655a1de152a425a5
Wassies by Wassies,12345,9880.61308899113,2463,0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea
Edenhorde,8688,9863.54326107662,2263,0x9eeaecbe2884aa7e82f450e3fc174f30fc2a8de3
The Saudis,5555,9618.82846595468,2140,0xe21ebcd28d37a67757b9bc7b290f4c4928a430b1
Gutter Juice,28000,9423.34096020799,3867,0x092bbc993042a69811d23feb0e64e3bfa0920c6a
Antonym: GENESIS,8888,9399.21083511623,4150,0x7e3ef31186d1bec0d3f35ad701d065743b84c790
CatBlox Genesis Collection,9999,9082.0101215449,4665,0x86c35fa9665002c08801805280ff6a077b23c98a
VOX Collectibles: Mirandus,8450,9071.6024120776,3330,0xf76179bb0924ba7da8e7b7fc2779495d7a7939d8
GEVOLs,8888,9025.46625275379,3512,0x34b4df75a17f8b3a6eff6bba477d39d701f5e92c
EightBit Me,8888,8993.14636850286,3035,0x6080b6d2c02e9a0853495b87ce6a65e353b74744
Flyfish Club,3035,8924.3638448784,1333,0xc9d8f15803c645e98b17710a0b6593f097064bef
Moonrunners Official,10000,8863.72547671097,3415,0x1485297e942ce64e0870ece60179dfda34b4c625
Everai Heroes: Duo,7777,8841.69922307667,2819,0x9a38dec0590abc8c883d72e52391090e948ddf12
Dippies,8888,8835.58619283514,5740,0x82f5ef9ddc3d231962ba57a9c2ebb307dc8d26c2
Rare Apepe YC,10000,8784.16529704613,2938,0x31d45de84fde2fb36575085e05754a4932dd5170
Crypto Coven,9768,8768.92746850381,4988,0x5180db8f5c931aae63c74266b211f580155ecac8
VaynerSports Pass VSP,15555,8717.28019387373,5619,0xbce6d2aa86934af4317ab8615f89e3f9430914cb
(B)APETAVERSE,10000,8515.49863386943,4449,0x4addca4c07a5e9a6b4973094d03ad5aae7735e5b
NeoTokyo Citizens,2072,8467.310547312198,1962,0xb668beb1fa440f6cf2da0399f8c28cab993bdd65
Acrocalypse,10419,8404.7935749581,2375,0xd73acd7f5099fdd910215dbff029185f21ffbcf0
ASM Brains,9150,8268.17177569925,2861,0xd0318da435dbce0b347cc6faa330b5a9889e3585
ShitBeast,10000,8211.35154089246,2711,0x6728d91abacdbac2f326baa384513a523c21b80a
IlluminatiNFT by Truth Labs,8128,8182.96430237908,3700,0x26badf693f2b103b021c670c852262b379bbbe8a
Apocalyptic Apes,8888,8179.52100291304,3396,0xf793a77e32a0e5c0cd28383e1e04bbc66ee52438
PartyBear,9669,8124.55807919923,3976,0x35471f47c3c0bc5fc75025b97a19ecdde00f78f8
Llamaverse Genesis,4000,7755.50463461175,221,0x9df8aa7c681f33e442a0d57b838555da863504f3
FLUF World: Burrows,10500,7692.99540716584,3464,0xe51aac67b09eaed6d3d43e794d6bae679cbe09d8
Habbo Avatars,11600,7649.93115730753,4336,0x8a1bbef259b00ced668a8c69e50d92619c672176
mcgoblin.wtf,8347,7596.25047901013,1716,0xc5b52253f5225835cc81c52cdb3d6a22bc3b0c93
The Doggies (Snoop Dogg),10000,7488.98646047733,7344,0xc7df86762ba83f2a6197e1ff9bb40ae0f696b9e6
RTFKT x Nike Dunk Genesis CRYPTOKICKS,13298,7416.3407217313,6735,0xf661d58cfe893993b11d53d11148c4650590c692
Los Muertos World,10000,7371.86623413832,2813,0xc878671ff88f1374d2186127573e4a63931370fc
Gray Boys,10000,7284.91729478763,3525,0x8d4100897447d173289560bc85c5c432be4f44e4
FoxFam,10038,7262.48373493765,3515,0x7cba74d0b16c8e18a9e48d3b7404d7739bb24f23
Wolf Game - Genesis Land,19973,7239.11935066518,4454,0x2c88aa0956bc9813505d73575f653f69ada60923
Voxies,10010,7213.20823753246,2078,0xe3435edbf54b5126e817363900234adfee5b3cee
