contract,mint_number_count,mint_address_count
0x0015f391949f25c3211063104ad4afc99210f85c,2339,935
0x0030a97650f44802a4331dadeb2a4fc83e59dec1,68,13
0x004f901797f0ecfcd9522e3eb327c313ead798cb,64,3
0x005b92d71a934dbe48e985b6469881cf4b0308fc,173,160
0x005d8e06cbc5e1e6040f69268504f2580cd0af40,345,246
0x006c7a91ae21afcb558cb1035148a880e5407e9e,962,754
0x00703f9b11f2ac02d391a11e7b97c6ee80cd8563,26507,2949
0x008f5a13d37db25d1bf7e7115747450e12e471b9,235,208
0x010d7618b6c2f6d926f0f41d2c97f6644300317d,464,340
0x0144ecf966096108b03148d0071df6c70c051a52,515,302
0x015fcab6a246cfc0679c33ef0b9d9ef947d0bde4,2453,1516
0x01953361917f099be69c6b5b953269e231343134,1683,599
0x019c230567676ab27599ba2e06daa93b852e9942,1999,845
0x019cf178293f949162cc8dda75224949792d7b8f,1213,1019
0x01bbdf8837e9af6de6d67fddbde8fda709cad5ec,6,1
0x01f16c9cc0519643ae5b2d9bac2a58f964592e00,7623,12
0x01f4f36fe379670bfc57aa6a241108053916edb0,563,448
0x0208517aa68e7c72769af76f4cfdeea9fa4ef4b9,1992,1309
0x0233ca02f66edec895ee1cfb02effe49a96a14a4,15747,127
0x0251f87d5274bd3cfec3650a67ec0612a85f7195,4087,1976
0x026dce20bf77e08ca8aceb6b239cc54bb9d638ac,22170,2355
0x026debba6a0e1f8b24923363073e99be3e4075a8,12720,1946
0x0270d6ba8497af8116ea1af1f4697ac9dcdbf116,1887,1498
0x0286a66d47c64f4394c24cc065d6ce0cec8a4d6b,1001,358
0x02d390d8c7a1438bd40364d46a05947605e2c1ed,1439,305
0x030f0ab2fd3e44c06e221d0142be5cc0fd007885,6801,301
0x032d96756697af7ec02ce03d39001b39f7a5d849,12282,2557
0x0337e808a32fb6e915a0187a28560979528402c1,365,49
0x034a0e87ccb2943e60ddc1fd6a3ab3aaa442e554,5082,3295
0x0356b7113be6c7c914305819f0c4c141217f16e6,684,619
0x038cc0f103c380400482d87be0d3abcc4d9b2225,8023,2587
0x0400950a8905e334ba720e278bac505d27316edf,180,141
0x041e3675eb0bd6bd83b8ae1147ce962116cbe05b,10030,1485
0x0443c0bdf071b4ff1846fa2849b5fe094439df63,4444,1396
0x0474dccbec6603188a7efa029452c4751a15902d,51,15
0x0482878e808aa5dc3d16839a2c0d3d50468b0577,1709,900
0x04844d3d90e5043e42adcbef54361ccb761a121c,281,213
0x04a4825a6dc9c4283b289ef40ae215436989deea,8760,4521
0x04a9cd519585975d13dff7f16edf246cbdb1da6c,982,502
0x04aea5781e710f9afac7c7f005cc80121e42d4d7,1423,1029
0x04e4b74b1730806ecdd1d9b9837e77546d40c3f0,9646,5204
0x050497a09730bacf28726cfefe14ce40cee958d3,753,589
0x053b0a4294388532ac5ce6d55a30415010c4a005,4166,591
0x053b7577f1245395dd0dc3080f25b6e31044324e,1867,1339
0x053f674faa8208728537bc2b5ac5a2412a8cc987,268,163
0x05405185b58bbb0479af13e16c8d1154f1b25616,650,608
0x059e3557e5321c64064df37c200b851eea950618,5858,2766
0x05b1ef501cfdeed15f73bfc4a926e528cd95d190,2600,988
0x05c8ae6765f170b7114f6e00ac2275b2b80ff789,1747,931
0x064ce7b884e210e71c34d1a24f56a762b4079db1,1822,425
0x068303a96c83750d6141f2f57a770a6d709c775a,3009,1584
0x069138541ba1f610e749ac0545b0c6aeb7c7629c,2274,781
0x06b8a2251ce3163ace8815ccdd781a2a40fe11d1,4960,2109
0x06e2f80a1e94f4653eab38ccbefd7e43691e7bad,992,494
0x06eb75d315b88eaf04d1e22d8c9488b7834a31b5,8884,2474
0x06f474f6a8d641135599d73a3e15057874146667,501,370
0x0700381065195737e8c0da6d6bb637da55066993,7185,1508
0x0700e130c8fe936019df92d34ae3bb4b94d7ef65,1020,249
0x07527a1a26f52f5189c5bded00184bf4a16be9e4,473,11
0x0752e094324b42cd273b535ff1cc088081b48a79,88,11
0x077a25ce9babbed22179e27d14468609fccde19c,2016,835
0x079c7eb9d8c658bc80e640addf1feb593985655a,1173,450
0x07b2c4c50b03814c04316c5c8ff4bb9a790af1ab,2128,277
0x07e3f9478b18061b30d3fc1d0c18fc5c36b0be40,14582,2147
0x07edd3f930b0c16c67fd474b133513da06f156f9,1405,708
0x0803aa50dd319d8939e5da39a192caf75644e57f,2298,269
0x087a29e438db0640d6d8974b2fc1431a17fbe223,5555,2339
0x087ada92042a4693e60a63c2f2b724e982e19f36,1779,854
0x088468ad014caba627eebf8cfa18e36e8f7aac49,497,463
0x08c25912d5fc1f01994358bbc5bd01e83989fb87,1132,915
0x08fa3296bf749acc87e1c26911807ac0435db69a,4252,1323
0x08fee0109aa132466f15325655b042c906805401,7496,2663
0x090c26dd4275f6c2c4007ed84cbc2000f0edecf1,12625,4367
0x092fbf969136e841588d732d753c9ec7a6b03bdd,1870,676
0x095c1e0a6fe0075d78ad275c657df5b07630c021,13661,3819
0x099a93c756840cd1a5cdc69c20fe6f3244746e9c,10145,5308
0x09a0bf75dc381c41e6d4db74f30e82c9b0db81f5,1481,833
0x09a0de6e06ed0c1eb68cca206fe860ea040f75bc,637,467
0x09fee567243aa13e4dbb6581a2ae5123b156ee54,3539,1518
0x0a2b35bf3c151f0fceb494fea6288e4fc7e9fb37,56,28
0x0a5b5d11647744d0c3f88e8615040c01f9842047,10651,853
0x0a5d7b49bcfca951d929a3ce0a6b65079269f001,3466,1524
0x0a789ce48b757e8e4e74b3a614a3e267f8144580,670,279
0x0a9297c7d7528a916bc924d99fd534c24b23f494,1064,434
0x0a95b5d54507449997ac9bb6faef69cbdb7261ef,463,257
0x0ab185f6f9e8e3fabde5d8e144a800f6b1882a82,7781,2396
0x0ab9845aaf7b02654e38322e84cd3bc49a8edb89,2482,1177
0x0ac7da59d1c718a7b1a59438f6f9d857d6b6f862,176,144
